Title,Location,Price,Area,Room
                        Apartment Plantage Kerklaan 22 II                            ,            1018 TB Amsterdam (Weesperbuurt/Plantage)        ,"                €1,975 per month            ",65 m²,2 rooms
                        Apartment Lia Doranastraat 53                            ,            1031 HK Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,108 per month            ",124 m²,3 rooms
                        Apartment Mr. P.N. Arntzeniusweg 41 huis                            ,            1098 GL Amsterdam (Middenmeer)        ,"                €2,200 per month            ",92 m²,3 rooms
                        Apartment Admiralengracht                            ,            1056 EB Amsterdam (Van Galenbuurt)        ,"                €2,350 per month            ",64 m²,3 rooms
                        Apartment Czaar Peterstraat                            ,            1018 PR Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,850 per month            ",58 m²,2 rooms
                        Apartment Wilhelminastraat 29 1                            ,            1054 VV Amsterdam (Helmersbuurt)        ,"                €1,800 per month            ",52 m²,2 rooms
                        Apartment Mercatorplein                            ,            1056 CL Amsterdam (Van Galenbuurt)        ,"                €1,900 per month            ",85 m²,2 rooms
                        Apartment President Kennedylaan                            ,            1079 NJ Amsterdam (Rijnbuurt)        ,"                €2,750 per month            ",111 m²,5 rooms
                        Apartment Groenburgwal 35 A                            ,            1011 HS Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,450 per month            ",70 m²,2 rooms
                        Apartment Herengracht 289 E                            ,            1016 BL Amsterdam (Grachtengordel-West)        ,"                €1,750 per month            ",75 m²,2 rooms
                        Apartment Eerste Passeerdersdwarsstraat 76                            ,            1016 XD Amsterdam (Jordaan)        ,"                €1,850 per month            ",70 m²,2 rooms
                        Studio John M. Keynesplein 2                            ,            1066 EP Amsterdam (Sloter-/Riekerpolder)        ,"                €1,545 per month            ",23 m²,1 room
                        Apartment Buitendraaierij 10                            ,            1021 NN Amsterdam (IJplein/Vogelbuurt)        ,"                €1,550 per month            ",46 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T2                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            ",59 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T7                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €2,045 per month            ",75 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T1                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,530 - €1,650 per month            ",58 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T5                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            ",58 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T6                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,540 - €1,550 per month            ",59 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T8                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,825 - €1,860 per month            ",64 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T10                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,320 - €1,350 per month            ",47 m²,2 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T3                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,770 - €1,830 per month            ",63 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T4                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,795 - €1,805 per month            ",63 m²,3 rooms
                        Project: The Hub Apartments - The Hub Apartments | Type T9                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,380 - €1,415 per month            ",52 m²,2 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
                        Apartment Vasco da Gamastraat                            ,            1057 VM Amsterdam (Hoofdweg e.o.)        ,"                €1,645 per month            ",52 m²,2 rooms
                        Apartment Goudsbloemstraat                            ,            1015 JN Amsterdam (Jordaan)        ,"                €1,700 per month            ",45 m²,2 rooms
                        Apartment Javaplein 13 III                            ,            1095 CH Amsterdam (Indische Buurt Oost)        ,"                €1,750 per month            ",65 m²,2 rooms
                        Apartment Ennemaborg                            ,            1082 ST Amsterdam (Buitenveldert-West)        ,"                €1,800 per month            ",100 m²,3 rooms
                        Apartment Kerkstraat                            ,            1017 HW Amsterdam (Grachtengordel-Zuid)        ,"                €4,500 per month            ",120 m²,3 rooms
                        Apartment IJdoornlaan 1445 F                            ,            1034 BM Amsterdam (Banne Buiksloot)        ,"                €1,750 per month            ",75 m²,3 rooms
                        Apartment Boris Pasternakstraat                            ,"            1102 TC Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,175 per month            ",45 m²,2 rooms
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €1,700 per month            ",65 m²,2 rooms
                        Apartment Nicolaas Maesstraat 82 bov                            ,            1071 RD Amsterdam (Museumkwartier)        ,"                €4,250 per month            ",212 m²,8 rooms
                        Apartment Thorn Prikkerstraat 71                            ,            1062 BS Amsterdam (Overtoomse Veld)        ,"                €2,800 per month            ",113 m²,4 rooms
                        Apartment Albert Cuypstraat                            ,            1073 BG Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",40 m²,2 rooms
                        Apartment Van Woustraat                            ,            1074 AB Amsterdam (Oude Pijp)        ,"                €2,050 per month            ",49 m²,3 rooms
                        Apartment Weteringschans 143 1                            ,            1017 SE Amsterdam (De Weteringschans)        ,"                €1,950 per month            ",55 m²,3 rooms
                        Apartment Weteringschans 143 3                            ,            1017 SE Amsterdam (De Weteringschans)        ,"                €2,800 per month            ",80 m²,3 rooms
                        Apartment Weteringschans 143 2                            ,            1017 SE Amsterdam (De Weteringschans)        ,"                €1,900 per month            ",55 m²,3 rooms
                        Apartment Argonautenstraat                            ,            1076 KS Amsterdam (Stadionbuurt)        ,"                €2,250 per month            ",65 m²,3 rooms
                        Apartment Rozengracht                            ,            1016 ND Amsterdam (Jordaan)        ,"                €2,100 per month            ",77 m²,2 rooms
                        Apartment IJdok 103                            ,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €3,250 per month            ",140 m²,4 rooms
                        Apartment Willem Heselaarsstraat 48                            ,            1069 KA Amsterdam (Osdorp-Midden)        ,"                €2,000 per month            ",90 m²,3 rooms
                        Apartment Voordek 15                            ,            1034 SR Amsterdam (Banne Buiksloot)        ,"                €1,650 per month            ",76 m²,4 rooms
                        Apartment Henri Polaklaan 9 A1                            ,            1018 CP Amsterdam (Weesperbuurt/Plantage)        ,"                €2,150 per month            ",85 m²,2 rooms
                        Apartment Ruyschstraat                            ,            1091 MR Amsterdam (Oosterparkbuurt)        ,"                €2,100 per month            ",55 m²,3 rooms
                        Apartment Reguliersbreestraat                            ,            1017 CN Amsterdam (Grachtengordel-Zuid)        ,"                €2,000 per month            ",56 m²,2 rooms
                        Apartment Prinsengracht 657 D                            ,            1016 HV Amsterdam (Grachtengordel-West)        ,"                €1,600 per month            ",45 m²,2 rooms
                        Apartment Ecuplein                            ,            1060 RN Amsterdam (Middelveldsche Akerpolder)        ,"                €1,800 per month            ",90 m²,3 rooms
                        Apartment Marskramerstraat 128                            ,            1033 WG Amsterdam (Oostzanerwerf)        ,"                €3,000 per month            ",189 m²,6 rooms
                        Apartment Prinsengracht                            ,            1015 DX Amsterdam (Jordaan)        ,"                €2,100 per month            ",53 m²,2 rooms
                        Apartment Haarlemmermeerstraat 39                            ,            1058 JN Amsterdam (Hoofddorppleinbuurt)        ,"                €1,800 per month            ",68 m²,3 rooms
                        Apartment Zocherstraat 18 ³                            ,            1054 LX Amsterdam (Overtoomse Sluis)        ,"                €1,982 per month            ",70 m²,3 rooms
                        Apartment Osdorpplein 957 1                            ,            1068 TB Amsterdam (Osdorp-Oost)        ,"                €1,750 per month            ",70 m²,2 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Westermarkt                            ,            1016 DJ Amsterdam (Grachtengordel-West)        ,"                €2,750 per month            ",85 m²,3 rooms
                        Apartment Henkenshage 11                            ,            1083 BX Amsterdam (Buitenveldert-Oost)        ,"                €1,950 per month            ",85 m²,3 rooms
                        Apartment Rapenburg                            ,            1011 TX Amsterdam (Nieuwmarkt/Lastage)        ,"                €4,500 per month            ",125 m²,3 rooms
                        Apartment Admiraal De Ruijterweg                            ,            1055 MB Amsterdam (Landlust)        ,"                €2,700 per month            ",75 m²,4 rooms
                        Apartment Ceintuurbaan                            ,            1072 GH Amsterdam (Nieuwe Pijp)        ,"                €2,550 per month            ",75 m²,3 rooms
                        Apartment De Lairessestraat                            ,            1071 PL Amsterdam (Museumkwartier)        ,"                €2,300 per month            ",79 m²,2 rooms
                        Apartment Rapenburgerplein                            ,            1011 VB Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,495 per month            ",75 m²,3 rooms
                        Apartment Osdorpplein                            ,            1068 TB Amsterdam (Osdorp-Oost)        ,"                €1,750 per month            ",71 m²,3 rooms
                        Apartment Jan van Goyenkade 27 1                            ,            1075 HS Amsterdam (Willemspark)        ,"                €6,250 per month            ",270 m²,8 rooms
                        Apartment Gerard Brandtstraat                            ,            1054 JK Amsterdam (Vondelbuurt)        ,"                €1,950 per month            ",40 m²,2 rooms
                        Apartment Copernicusstraat                            ,            1098 JE Amsterdam (Middenmeer)        ,"                €1,895 per month            ",55 m²,3 rooms
                        Apartment Hogewerf                            ,            1082 NG Amsterdam (Buitenveldert-Oost)        ,"                €2,250 per month            ",85 m²,2 rooms
                        Apartment Tesselschadestraat                            ,            1054 ET Amsterdam (Vondelbuurt)        ,"                €2,650 per month            ",75 m²,3 rooms
                        Apartment Biesboschstraat                            ,            1078 MP Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",105 m²,5 rooms
                        Apartment Buitendraaierij                            ,            1021 NN Amsterdam (IJplein/Vogelbuurt)        ,"                €1,750 per month            ",56 m²,2 rooms
                        Apartment Alexanderkade                            ,            1018 CK Amsterdam (Weesperbuurt/Plantage)        ,"                €1,750 per month            ",60 m²,2 rooms
                        Apartment Prinsengracht 844 2                            ,            1017 JM Amsterdam (De Weteringschans)        ,"                €2,550 per month            ",120 m²,4 rooms
                        Apartment Maasstraat                            ,            1079 BE Amsterdam (Scheldebuurt)        ,"                €2,300 per month            ",88 m²,4 rooms
                        House Valeriusplein                            ,            1075 BJ Amsterdam (Willemspark)        ,"                €7,000 per month            ",316 m²,6 rooms
                        Apartment Eosstraat                            ,            1076 DT Amsterdam (Stadionbuurt)        ,"                €2,050 per month            ",99 m²,3 rooms
                        Apartment Ceintuurbaan 257 1                            ,            1074 CZ Amsterdam (Oude Pijp)        ,"                €2,100 per month            ",50 m²,2 rooms
                        Apartment IJburglaan                            ,            1087 CL Amsterdam (IJburg West)        ,"                €1,995 per month            ",115 m²,2 rooms
                        Apartment Eef Kamerbeekstraat                            ,            1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,725 per month            ",65 m²,3 rooms
                        Apartment Cornelis Schuytstraat 8 1                            ,            1071 JH Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",65 m²,2 rooms
                        Apartment Tweede Laurierdwarsstraat 56                            ,            1016 RC Amsterdam (Jordaan)        ,"                €2,950 per month            ",111 m²,4 rooms
                        Apartment Nieuwe Spiegelstraat                            ,            1017 DD Amsterdam (Grachtengordel-Zuid)        ,"                €1,750 per month            ",52 m²,2 rooms
                        Apartment Bloemgracht                            ,            1016 KG Amsterdam (Jordaan)        ,"                €3,250 per month            ",120 m²,3 rooms
                        Apartment Jan van Zutphenstraat                            ,            1069 RS Amsterdam (Osdorp-Midden)        ,"                €2,350 per month            ",117 m²,4 rooms
                        Apartment Prinsengracht 197 C                            ,            1015 DT Amsterdam (Grachtengordel-West)        ,"                €2,500 per month            ",70 m²,2 rooms
                        Apartment Bosrankstraat                            ,            1032 LH Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,250 per month            ",110 m²,4 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
                        Apartment Bronckhorststraat 32 1                            ,            1071 WS Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",83 m²,3 rooms
                        Apartment Hemonystraat 32 C                            ,            1074 BR Amsterdam (Oude Pijp)        ,"                €1,800 per month            ",90 m²,3 rooms
                        House Ligusterhof                            ,            1087 SK Amsterdam (IJburg Zuid)        ,"                €5,500 per month            ",230 m²,6 rooms
                        Apartment Barkasstraat                            ,            1086 VJ Amsterdam (IJburg West)        ,"                €2,450 per month            ",79 m²,3 rooms
                        Apartment Argonautenstraat                            ,            1076 KK Amsterdam (Stadionbuurt)        ,"                €2,100 per month            ",80 m²,4 rooms
                        Apartment Van Heenvlietlaan 182                            ,            1083 CM Amsterdam (Buitenveldert-Oost)        ,"                €2,600 per month            ",117 m²,4 rooms
                        Apartment Nieuwe Spiegelstraat 20 B                            ,            1017 DE Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",90 m²,3 rooms
                        Apartment De Lairessestraat 120 II                            ,            1071 PL Amsterdam (Museumkwartier)        ,"                €3,900 per month            ",104 m²,3 rooms
                        Apartment Laing's Nekstraat                            ,            1092 GS Amsterdam (Transvaalbuurt)        ,"                €2,700 per month            ",83 m²,4 rooms
                        Apartment Eerste Schinkelstraat                            ,            1075 TX Amsterdam (Schinkelbuurt)        ,"                €1,575 per month            ",55 m²,2 rooms
                        House Brouwersgracht                            ,            1015 GD Amsterdam (Jordaan)        ,"                €1,950 per month            ",65 m²,2 rooms
                        Apartment Willem de Zwijgerlaan 112 I                            ,            1056 JV Amsterdam (Geuzenbuurt)        ,"                €2,000 per month            ",55 m²,4 rooms
                        Apartment Hof van Groenen 17                            ,            1083 JR Amsterdam (Buitenveldert-Oost)        ,"                €2,350 per month            ",100 m²,3 rooms
                        Apartment Herengracht                            ,            1016 BE Amsterdam (Grachtengordel-West)        ,"                €3,750 per month            ",110 m²,4 rooms
                        Apartment Leimuidenstraat                            ,            1059 EE Amsterdam (Hoofddorppleinbuurt)        ,"                €2,500 per month            ",130 m²,3 rooms
                        Apartment Borneolaan 362                            ,            1019 KL Amsterdam (Oostelijk Havengebied)        ,"                €1,700 per month            ",59 m²,2 rooms
                        Apartment Bijlmerdreef 973                            ,"            1103 TW Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,650 per month            ",84 m²,3 rooms
                        Apartment Weesperzijde 42 A-2                            ,            1091 EE Amsterdam (Weesperzijde)        ,"                €2,250 per month            ",59 m²,3 rooms
                        Apartment Wethouder Frankeweg 32 1                            ,            1098 LB Amsterdam (Middenmeer)        ,"                €1,625 per month            ",75 m²,2 rooms
                        Apartment Adelaarsweg                            ,            1021 BP Amsterdam (IJplein/Vogelbuurt)        ,"                €2,200 per month            ",90 m²,4 rooms
                        Apartment Raadhuisstraat 44 C                            ,            1016 DG Amsterdam (Grachtengordel-West)        ,"                €2,700 per month            ",90 m²,2 rooms
                        Apartment Spiegelgracht 21 4                            ,            1017 JP Amsterdam (De Weteringschans)        ,"                €2,750 per month            ",76 m²,3 rooms
                        Apartment Korte Tolstraat 5 2                            ,            1073 SG Amsterdam (Nieuwe Pijp)        ,"                €1,800 per month            ",45 m²,2 rooms
                        Apartment Hogevecht                            ,"            1102 HE Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,850 per month            ",90 m²,4 rooms
                        Apartment Govert Flinckstraat 122 1                            ,            1072 EM Amsterdam (Oude Pijp)        ,"                €2,100 per month            ",70 m²,2 rooms
                        Apartment Klaroenstraat                            ,"            1104 HW Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,700 per month            ",80 m²,3 rooms
                        Apartment Keizersgracht 120 D                            ,            1015 CW Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",85 m²,3 rooms
                        Apartment Carolina MacGillavrylaan 210                            ,            1098 XA Amsterdam (Middenmeer)        ,"                €2,450 per month            ",137 m²,5 rooms
                        Apartment Carolina MacGillavrylaan 216                            ,            1098 XA Amsterdam (Middenmeer)        ,"                €2,400 per month            ",106 m²,4 rooms
                        Apartment Hazenstraat 29 1                            ,            1016 SM Amsterdam (Jordaan)        ,"                €2,600 per month            ",90 m²,3 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
                        Apartment Ringdijk                            ,            1097 AB Amsterdam (Frankendael)        ,"                €2,250 per month            ",90 m²,3 rooms
                        Apartment Warmoesstraat                            ,            1012 HX Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,350 per month            ",80 m²,2 rooms
                        Apartment Roetersstraat 2 E                            ,            1018 WC Amsterdam (Weesperbuurt/Plantage)        ,"                €2,250 per month            ",55 m²,2 rooms
                        Apartment Krommertstraat                            ,            1056 TS Amsterdam (Geuzenbuurt)        ,"                €2,650 per month            ",131 m²,5 rooms
                        House Randwijkhof                            ,            1106 JZ Amsterdam (Holendrecht/Reigersbos)        ,"                €1,950 per month            ",94 m²,4 rooms
                        Apartment Churchill-laan 143 hs                            ,            1078 DS Amsterdam (Scheldebuurt)        ,"                €2,950 per month            ",110 m²,4 rooms
                        Apartment Buiten Vissersstraat                            ,            1013 GB Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",52 m²,2 rooms
                        Apartment Pieter Cornelisz. Hooftstraat                            ,            1071 CA Amsterdam (Museumkwartier)        ,"                €2,750 per month            ",80 m²,3 rooms
                        Apartment Emmalaan                            ,            1075 AT Amsterdam (Willemspark)        ,"                €3,250 per month            ",90 m²,3 rooms
                        Apartment Van Suchtelen van de Haarestraat 26 D                            ,            1068 GV Amsterdam (Osdorp-Oost)        ,"                €2,450 per month            ",101 m²,5 rooms
                        Apartment Wijnsilostraat                            ,            1019 VM Amsterdam (Oostelijk Havengebied)        ,"                €2,150 per month            ",63 m²,2 rooms
                        Apartment Lauriergracht 45 B                            ,            1016 RG Amsterdam (Jordaan)        ,"                €3,000 per month            ",99 m²,3 rooms
                        Apartment Westerdok                            ,            1013 BH Amsterdam (Haarlemmerbuurt)        ,"                €1,850 per month            ",58 m²,2 rooms
                        Apartment Amstel                            ,            1017 AA Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",110 m²,3 rooms
                        Apartment Cornelis Troostplein                            ,            1072 JK Amsterdam (Nieuwe Pijp)        ,"                €1,900 per month            ",59 m²,3 rooms
                        Apartment Hagedoornweg                            ,            1031 BT Amsterdam (Volewijck)        ,"                €1,750 per month            ",30 m²,2 rooms
                        Apartment Valeriusplein 28 2                            ,            1075 BH Amsterdam (Willemspark)        ,"                €3,000 per month            ",76 m²,2 rooms
                        Apartment Agamemnonstraat 15 2                            ,            1076 LN Amsterdam (Stadionbuurt)        ,"                €3,250 per month            ",90 m²,5 rooms
                        Apartment Jacob van Lennepstraat 257                            ,            1053 JE Amsterdam (Van Lennepbuurt)        ,"                €1,900 per month            ",52 m²,3 rooms
                        Apartment Warmondstraat 189 III                            ,            1058 KX Amsterdam (Hoofddorppleinbuurt)        ,"                €2,350 per month            ",80 m²,3 rooms
                        Apartment Christiaan de Wetstraat                            ,            1091 NG Amsterdam (Transvaalbuurt)        ,"                €1,950 per month            ",50 m²,3 rooms
                        Apartment Pieter Cornelisz. Hooftstraat 59 3                            ,            1071 BN Amsterdam (Museumkwartier)        ,"                €2,850 per month            ",131 m²,4 rooms
                        Apartment Van Nijenrodeweg                            ,            1082 JE Amsterdam (Buitenveldert-West)        ,"                €1,950 per month            ",36 m²,2 rooms
                        House Keizersgracht                            ,            1017 DT Amsterdam (Grachtengordel-Zuid)        ,"                €5,250 per month            ",252 m²,5 rooms
                        Apartment Narva-eiland                            ,            1014 ZJ Amsterdam (Houthavens)        ,"                €2,250 per month            ",69 m²,2 rooms
                        Apartment Baetostraat 4 3                            ,            1055 EP Amsterdam (Landlust)        ,"                €1,750 per month            ",60 m²,3 rooms
                        Apartment Keizersgracht                            ,            1017 EW Amsterdam (Grachtengordel-Zuid)        ,"                €3,200 per month            ",108 m²,4 rooms
                        Apartment Maria Austriastraat                            ,            1087 JC Amsterdam (IJburg West)        ,"                €1,950 per month            ",39 m²,1 room
                        Apartment Van Tuyll van Serooskerkenweg                            ,            1076 JG Amsterdam (Stadionbuurt)        ,"                €3,375 per month            ",115 m²,5 rooms
                        House Emmy Andriessestraat                            ,            1087 LS Amsterdam (IJburg Zuid)        ,"                €2,795 per month            ",150 m²,4 rooms
                        Apartment Hoogte Kadijk 54 H                            ,            1018 BN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",93 m²,3 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",62 m²,3 rooms
